STATION,HTDD,year
USC00315340,3306,2020
USC00315340,3366,2021
USC00315356,4857,2010
USC00315356,4894,2011
USC00315356,3908,2012
USC00315356,4815,2013
USC00315356,5034,2014
USC00315356,4846,2015
USC00315356,4110,2016
USC00315356,3926,2017
USC00315356,4562,2018
USC00315356,4352,2019
USC00315356,4242,2020
USC00315356,4401,2021
USC00315743,,2010
USC00315743,,2011
USC00315743,,2012
USC00315743,,2013
USC00315743,,2014
USC00315743,,2015
USC00315743,3538,2016
USC00315743,3388,2017
USC00315743,4122,2018
USC00315743,3867,2019
USC00315743,3696,2020
USC00315743,3911,2021
USC00315771,,2010
USC00315771,3181,2011
USC00315771,,2013
USC00315771,3531,2014
USC00315771,3436,2015
USC00315771,2629,2016
USC00315771,2522,2017
USC00315771,3155,2018
USC00315771,3034,2019
USC00315771,2796,2020
USC00315771,3029,2021
USC00315820,,2010
USC00315820,,2011
USC00315820,,2012
USC00315820,2578,2013
USC00315820,2503,2021
USC00315830,,2010
USC00315830,2650,2011
USC00315830,1752,2012
USC00315830,2285,2013
USC00315830,2338,2014
USC00315830,2866,2015
USC00315830,2056,2016
USC00315830,2116,2017
USC00315830,2735,2018
USC00315830,,2019
USC00315830,2165,2020
USC00315830,2398,2021
USC00315838,4200,2010
USC00315838,4027,2011
USC00315838,3303,2012
USC00315838,3951,2013
USC00315838,4178,2014
USC00315838,4016,2015
USC00315838,3417,2016
USC00315838,3084,2017
USC00315838,3858,2018
USC00315838,3678,2019
USC00315838,3493,2020
USC00315838,3668,2021
USC00315890,,2010
USC00315890,4384,2011
USC00315890,3680,2012
USC00315890,4462,2013
USC00315890,4691,2014
USC00315890,4496,2015
USC00315890,3815,2016
USC00315890,3613,2017
USC00315890,4420,2018
USC00315890,4142,2019
USC00315890,4128,2020
USC00315890,4114,2021
USC00315923,8286,2010
USC00315923,7748,2011
USC00315923,7035,2012
USC00315923,8069,2013
USC00315923,8000,2014
USC00315923,7876,2015
USC00315923,7334,2016
USC00315923,6941,2017
USC00315923,7741,2018
USC00315923,7491,2019
USC00315923,7479,2020
USC00315923,7417,2021
USC00315930,,2011
USC00315930,,2012
USC00315930,,2013
USC00315930,3354,2014
USC00315930,,2015
USC00315930,,2016
USC00315930,,2017
USC00315930,,2018
USC00315930,,2020
USC00315930,,2021
USC00315996,,2010
USC00315996,,2011
USC00315996,3130,2012
USC00315996,3992,2013
USC00315996,4177,2014
USC00315996,4127,2015
USC00315996,3091,2016
USC00315996,3185,2017
USC00315996,3715,2018
USC00315996,3342,2019
USC00315996,,2020
USC00315996,3343,2021
USC00316096,3117,2010
USC00316096,3309,2011
USC00316096,2369,2012
USC00316096,2954,2013
USC00316096,3006,2014
USC00316096,3098,2015
USC00316096,2288,2016
USC00316096,2430,2017
USC00316096,2821,2018
USC00316096,2422,2019
USC00316096,2339,2020
USC00316096,2595,2021
USC00316122,3811,2010
USC00316122,,2012
USC00316122,3708,2013
USC00316122,,2016
USC00316122,,2017
USC00316122,3729,2018
USC00316122,,2019
USC00316122,3144,2020
USC00316122,3283,2021
USC00316236,,2010
USC00316236,,2011
USC00316236,,2012
USC00316236,,2013
USC00316236,,2014
USC00316236,,2015
USC00316236,,2016
USC00316236,,2017
USC00316236,3885,2018
USC00316236,3665,2019
USC00316236,3569,2020
USC00316236,3723,2021
USC00316256,4319,2010
USC00316256,4245,2011
USC00316256,3384,2012
USC00316256,4236,2013
USC00316256,4295,2014
USC00316256,4179,2015
USC00316256,3490,2016
USC00316256,3192,2017
USC00316256,3955,2018
USC00316256,3718,2019
USC00316256,3570,2020
USC00316256,3675,2021
USC00316349,2711,2010
USC00316349,2926,2011
USC00316349,1953,2012
USC00316349,2644,2013
USC00316349,2598,2014
USC00316349,2759,2015
USC00316349,,2016
USC00316349,,2019
USC00316349,1851,2020
USC00316349,2145,2021
USC00316380,,2012
USC00316380,,2013
USC00316380,,2014
USC00316380,,2015
USC00316380,,2016
USC00316380,3449,2017
USC00316380,4272,2018
USC00316380,4027,2019
USC00316380,3973,2020
USC00316380,4117,2021
USC00316422,3271,2010
USC00316422,3426,2011
USC00316422,,2015
USC00316422,,2016
USC00316422,2073,2017
USC00316422,,2019
USC00316422,,2020
USC00316422,2916,2021
USC00316510,3763,2010
USC00316510,3797,2011
USC00316510,2990,2012
USC00316510,3746,2013
USC00316510,,2019
USC00316510,,2020
USC00316510,,2021
USC00316676,,2010
USC00316676,,2011
USC00316676,,2012
USC00316676,,2013
USC00316676,2775,2014
USC00316676,2816,2015
USC00316676,1965,2016
USC00316676,2057,2017
USC00316676,2513,2018
USC00316676,2120,2019
USC00316676,2449,2020
USC00316676,2733,2021
USC00316686,,2010
USC00316686,,2011
USC00316686,,2012
USC00316686,,2016
USC00316686,,2017
USC00316686,,2018
USC00316686,3685,2019
USC00316686,,2020
USC00316686,3938,2021
USC00316805,,2010
USC00316805,4385,2011
USC00316805,3615,2012
USC00316805,4430,2013
USC00316805,4735,2014
USC00316805,4260,2015
USC00316805,3826,2016
USC00316805,3530,2017
USC00316805,4116,2018
USC00316805,3903,2019
USC00316805,3813,2020
USC00316805,4081,2021
USC00316853,3073,2010
USC00316853,3242,2011
USC00316853,2356,2012
USC00316853,3187,2013
USC00316853,3143,2014
USC00316853,3242,2015
USC00316853,2285,2016
USC00316853,2376,2017
USC00316853,2952,2018
USC00316853,2579,2019
USC00316853,2391,2020
USC00316853,2719,2021
USC00317056,,2010
