weather_station,year,HTDD
STATION,HTDD,
USC00315930,,
USC00315930,,
USC00315930,,
USC00315930,3354,
USC00315930,,
USC00315930,,
USC00315930,,
USC00315930,,
USC00315930,,
USC00315930,,
USC00315996,,
USC00315996,,
USC00315996,3130,
USC00315996,3992,
USC00315996,4177,
USC00315996,4127,
USC00315996,3091,
USC00315996,3185,
USC00315996,3715,
USC00315996,3342,
USC00315996,,
USC00315996,3343,
USC00316096,3117,
USC00316096,3309,
USC00316096,2369,
USC00316096,2954,
USC00316096,3006,
USC00316096,3098,
USC00316096,2288,
USC00316096,2430,
USC00316096,2821,
USC00316096,2422,
USC00316096,2339,
USC00316096,2595,
USC00316122,3811,
USC00316122,,
USC00316122,3708,
USC00316122,,
USC00316122,,
USC00316122,3729,
USC00316122,,
USC00316122,3144,
USC00316122,3283,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,,
USC00316236,3885,
USC00316236,3665,
USC00316236,3569,
USC00316236,3723,
USC00316256,4319,
USC00316256,4245,
USC00316256,3384,
USC00316256,4236,
USC00316256,4295,
USC00316256,4179,
USC00316256,3490,
USC00316256,3192,
USC00316256,3955,
USC00316256,3718,
USC00316256,3570,
USC00316256,3675,
USC00316349,2711,
USC00316349,2926,
USC00316349,1953,
USC00316349,2644,
USC00316349,2598,
USC00316349,2759,
USC00316349,,
USC00316349,,
USC00316349,1851,
USC00316349,2145,
USC00316380,,
USC00316380,,
USC00316380,,
USC00316380,,
USC00316380,,
USC00316380,3449,
USC00316380,4272,
USC00316380,4027,
USC00316380,3973,
USC00316380,4117,
USC00316422,3271,
USC00316422,3426,
USC00316422,,
USC00316422,,
USC00316422,2073,
USC00316422,,
USC00316422,,
USC00316422,2916,
USC00316510,3763,
USC00316510,3797,
USC00316510,2990,
USC00316510,3746,
USC00316510,,
USC00316510,,
USC00316510,,
USC00316676,,
USC00316676,,
USC00316676,,
USC00316676,,
USC00316676,2775,
USC00316676,2816,
USC00316676,1965,
USC00316676,2057,
USC00316676,2513,
USC00316676,2120,
USC00316676,2449,
USC00316676,2733,
USC00316686,,
USC00316686,,
USC00316686,,
USC00316686,,
USC00316686,,
USC00316686,,
USC00316686,3685,
USC00316686,,
USC00316686,3938,
USC00316805,,
USC00316805,4385,
USC00316805,3615,
USC00316805,4430,
USC00316805,4735,
USC00316805,4260,
USC00316805,3826,
USC00316805,3530,
USC00316805,4116,
USC00316805,3903,
USC00316805,3813,
USC00316805,4081,
USC00316853,3073,
USC00316853,3242,
USC00316853,2356,
USC00316853,3187,
USC00316853,3143,
USC00316853,3242,
USC00316853,2285,
USC00316853,2376,
USC00316853,2952,
USC00316853,2579,
USC00316853,2391,
USC00316853,2719,
USC00317056,,
USC00317056,3455,
USC00317056,2696,
USC00317056,,
USC00317056,,
USC00317056,,
USC00317079,3100,
USC00317079,3294,
USC00317079,2501,
USC00317079,3247,
USC00317079,3464,
USC00317079,3628,
USC00317079,2798,
USC00317079,2587,
USC00317079,3161,
USC00317079,3012,
USC00317079,2637,
USC00317079,2936,
USC00317097,,
USC00317097,,
USC00317097,,
USC00317097,,
USC00317097,3098,
USC00317097,2931,
USC00317097,3813,
USC00317097,,
USC00317097,3350,
USC00317097,3564,
USC00317170,2517,
USC00317170,2564,
USC00317170,2734,
USC00317170,2705,
USC00317170,2923,
USC00317170,2037,
USC00317170,2153,
USC00317170,2609,
USC00317170,,
USC00317170,2140,
USC00317170,2444,
USC00317202,4004,
USC00317202,4026,
USC00317202,3243,
USC00317202,4015,
USC00317202,4157,
USC00317202,4189,
USC00317202,3360,
USC00317202,3173,
USC00317202,3997,
